	Fe_i	O_i	d (A)	V (eV)
Fe2	1	56	1.994	0.78
Fe2	1	64	2.030	0.78
Fe2	1	63	2.030	0.71
Fe2	1	59	2.075	0.56
Fe2	1	55	2.254	0.29
Fe2	1	54	2.254	0.29
Fe2	1	61	2.400	0.22
Fe2	1	12	2.400	0.22
Fe2	2	89	1.994	0.78
Fe2	2	97	2.030	0.78
Fe2	2	96	2.030	0.71
Fe2	2	98	2.075	0.56
Fe2	2	94	2.254	0.29
Fe2	2	93	2.254	0.29
Fe2	2	99	2.400	0.22
Fe2	2	52	2.400	0.22
Fe3	3	35	1.994	0.68
Fe3	3	43	2.030	0.72
Fe3	3	42	2.030	0.66
Fe3	3	8	2.075	0.59
Fe3	3	28	2.254	0.35
Fe3	3	27	2.254	0.34
Fe3	3	10	2.400	0.32
Fe3	3	57	2.400	0.13
Fe3	4	26	1.994	0.68
Fe3	4	9	2.030	0.72
Fe3	4	10	2.030	0.66
Fe3	4	41	2.075	0.59
Fe3	4	36	2.254	0.35
Fe3	4	37	2.254	0.34
Fe3	4	42	2.400	0.32
Fe3	4	91	2.400	0.13
